name,description,type,epic,labels,state
Test and fix register page,Customers cannot reliably create accounts - blocks all customer-facing flows.,bug,Customer Accounts & Authentication,tier-2,to do
Build customer account portal with order history,"Logged-in customer experience: profile, past orders, reorder, saved addresses.",feature,Customer Accounts & Authentication,tier-2,to do
Wire real product images end-to-end,Replace placeholder leaf icons with real product imagery in storefront.,feature,Product Catalog & Discovery,tier-2,to do
Implement full-text search with autocomplete,"Customers need to find products by name, strain, effects, etc.",feature,Product Catalog & Discovery,tier-2,to do
Wire /products page to searchProducts query,Switch /products listing to use the searchProducts GraphQL query.,feature,Product Catalog & Discovery,tier-4,to do
Integrate Otreeba for strain enrichment,"Pull strain metadata (effects, terpenes, lineage) into product detail.",feature,Product Catalog & Discovery,tier-3,to do
Build product image upload with S3 wiring,Admin/staff product image upload flow backed by S3.,feature,Product Catalog & Discovery,tier-5,to do
Implement taxBreakdown GraphQL JSON scalar,"Receipts need itemized tax breakdown - state, local, excise, etc.",feature,Payments & Tax,tier-2,to do
Build promotions/discounts engine,"Percentage off, BOGO, bundle discounts, time-windowed promotions per dispensary.",feature,Promotions & Loyalty,tier-3,to do
Build loyalty/rewards system,"Points accrual, tiers, redemption flow.",feature,Promotions & Loyalty,tier-4,to do
Wire kiosk app to API,Connect kiosk app (port 5176 or assigned) to API for in-store self-service ordering.,feature,Sales Channels & Fulfillment,tier-3,to do
Build delivery/fulfillment module,"Delivery zones, driver assignment, status updates - critical for NY/NJ market.",feature,Sales Channels & Fulfillment,tier-3,to do
Integrate POS systems (Dutchie/Treez),Bidirectional sync with Dutchie and Treez for migration paths.,feature,Sales Channels & Fulfillment,tier-5,to do
Build staffing module with cert/expiration tracking,Track staff certifications and expirations - regulatory compliance requirement.,feature,Staff Management & HR,"tier-3,compliance",to do
Build time clock and payroll export,"Clock in/out, hours tracking, payroll-ready export (CSV/QuickBooks).",feature,Staff Management & HR,tier-4,to do
Build staff scheduling,"Shift creation, assignment, swaps, coverage requests.",feature,Staff Management & HR,tier-4,to do
Add timesheet submission to staff portal,Staff submit timesheets for approval.,feature,Staff Management & HR,tier-6,to do
Add timesheet approval workflow to admin portal,Admin approves/unapproves staff timesheets.,feature,Staff Management & HR,tier-6,to do
Add inventory filters to staff inventory screen,"Filter by category, stock level, supplier, etc.",feature,Inventory Management,tier-6,to do
Add inventory filters to admin inventory screen,Same filtering capability on admin side.,feature,Inventory Management,tier-6,to do
Build analytics/reporting dashboards,"Sales, inventory turnover, top products, customer cohorts, staff performance.",feature,Analytics & Reporting,tier-4,to do
Build Spring Bloom theme in admin,Finish Spring Bloom and surface in admin theme picker.,feature,Design System,tier-4,to do
Add additional design themes,"Expand beyond the 10 current themes (apothecary, casual, citrus, dark, earthy, midnight, minimal, modern, neon, regal).",feature,Design System,tier-4,to do
Build admin theme preview,Live preview of theme in admin before committing change.,feature,Design System,tier-4,to do
Unify theme-presets and design-systems mechanisms,Tech debt: collapse parallel theme systems into single source of truth.,chore,Design System,tech-debt,to do
Fix dispensary UUID issue,Ticking time bomb for multi-tenant data integrity.,bug,Data Integrity & Code Quality,tier-2,to do
Add CRON job for failed Metrc retries,Compliance cannot have silent Metrc sync failures.,chore,Data Integrity & Code Quality,"tier-3,compliance",to do
Fix ESLint config,Restore linting across monorepo - code quality degrades fast without it.,chore,Data Integrity & Code Quality,tier-3,to do
Implement WebSocket real-time updates,"Live order status, inventory updates, notifications.",feature,Real-time & Mobile,tier-5,to do
Add PWA mobile support,Installable PWA with offline shell and push notifications.,feature,Real-time & Mobile,tier-5,to do
Production Docker Compose setup,"Production-ready compose with proper networking, volumes, secrets.",chore,DevOps & Production Hardening,tier-6,to do
Build CI/CD pipeline,"Automated test, build, deploy on merge.",chore,DevOps & Production Hardening,tier-6,to do
Environment-specific configs,Dev/staging/prod config separation with secrets management.,chore,DevOps & Production Hardening,tier-6,to do
SSL/domain setup,"Production domain, certs, HTTPS enforcement.",chore,DevOps & Production Hardening,tier-6,to do
Database backup strategy,"Automated backups, restore drill, retention policy.",chore,DevOps & Production Hardening,tier-6,to do
Monitoring and alerting,"Logs, metrics, uptime, error tracking, on-call alerts.",chore,DevOps & Production Hardening,tier-6,to do
Evaluate cannabis-friendly payment processors,"Stripe is OFF the table per ToS. Evaluate Aeropay, Hypur, KindTap, CanPay, etc.",chore,Cannabis-Friendly Payment Processor,"critical-path,blocker",to do
Integrate selected payment processor,Replace Stripe scaffolding with chosen processor's SDK.,feature,Cannabis-Friendly Payment Processor,critical-path,to do
Production webhook registration,Register processor webhooks for production environment.,chore,Cannabis-Friendly Payment Processor,critical-path,to do
Webhook signature verification,Validate inbound webhooks cryptographically.,feature,Cannabis-Friendly Payment Processor,security,to do
Failed payment retry logic,Idempotent retry with backoff for failed payment events.,feature,Cannabis-Friendly Payment Processor,reliability,to do
Refund flow,Admin-initiated refunds with audit trail.,feature,Cannabis-Friendly Payment Processor,operations,to do
Real-time stock decrement on order placement,Already partially handled with FOR UPDATE row locks - finish the broader workflow.,feature,Real-time Inventory Management,critical-path,to do
Low-stock alerts,"Configurable thresholds, email/in-app alerts to staff/admin.",feature,Real-time Inventory Management,critical-path,to do
Stock reconciliation against Metrc,"Periodic reconciliation job, surface discrepancies.",feature,Real-time Inventory Management,compliance,to do
Manual stock adjustments with audit trail,"Staff/admin can adjust stock with reason code, fully audited.",feature,Real-time Inventory Management,compliance,to do
Bulk inventory import,CSV/spreadsheet import for initial onboarding and large updates.,feature,Real-time Inventory Management,onboarding,to do
